,home_team,empate_home,gano_home,perdio_home,empate_away,perdio_away,gano_away,gano,perdio,empate,num_partidos,gano_perc,perdio_perc,empate_perc,tournament_name,index_tournament
680,Atlante,2.0,4.0,2.0,1.0,6.0,2.0,6.0,8.0,3.0,17.0,0.35294117647058826,0.47058823529411764,0.17647058823529413,clausura 2007,39
681,Atlas,4.0,5.0,2.0,3.0,5.0,2.0,7.0,7.0,7.0,21.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,clausura 2007,39
682,Chiapas FC,0.0,6.0,4.0,3.0,4.0,2.0,8.0,8.0,0.0,16.0,0.5,0.5,0.0,clausura 2007,39
683,Chivas,3.0,5.0,2.0,1.0,4.0,6.0,11.0,6.0,4.0,21.0,0.5238095238095238,0.2857142857142857,0.19047619047619047,clausura 2007,39
684,Club Queretaro,7.0,8.0,2.0,4.0,12.0,1.0,9.0,14.0,11.0,34.0,0.2647058823529412,0.4117647058823529,0.3235294117647059,clausura 2007,39
685,Cruz Azul,2.0,6.0,2.0,3.0,4.0,4.0,10.0,6.0,5.0,21.0,0.47619047619047616,0.2857142857142857,0.23809523809523808,clausura 2007,39
686,Estudiantes,2.0,5.0,2.0,5.0,4.0,1.0,6.0,6.0,7.0,19.0,0.3157894736842105,0.3157894736842105,0.3684210526315789,clausura 2007,39
687,Monterrey,1.0,5.0,2.0,3.0,6.0,0.0,0.0,8.0,4.0,12.0,0.0,0.6666666666666666,0.3333333333333333,clausura 2007,39
688,Morelia,2.0,6.0,2.0,1.0,7.0,1.0,7.0,9.0,3.0,19.0,0.3684210526315789,0.47368421052631576,0.15789473684210525,clausura 2007,39
689,Necaxa,1.0,3.0,4.0,5.0,3.0,1.0,4.0,7.0,6.0,17.0,0.23529411764705882,0.4117647058823529,0.35294117647058826,clausura 2007,39
690,Pachuca,5.0,6.0,0.0,2.0,2.0,8.0,14.0,0.0,7.0,21.0,0.6666666666666666,0.0,0.3333333333333333,clausura 2007,39
691,Pumas,5.0,2.0,1.0,6.0,2.0,1.0,3.0,3.0,11.0,17.0,0.17647058823529413,0.17647058823529413,0.6470588235294118,clausura 2007,39
692,Santos,3.0,5.0,3.0,3.0,5.0,2.0,7.0,8.0,6.0,21.0,0.3333333333333333,0.38095238095238093,0.2857142857142857,clausura 2007,39
693,Tigres,4.0,4.0,2.0,1.0,6.0,2.0,6.0,8.0,5.0,19.0,0.3157894736842105,0.42105263157894735,0.2631578947368421,clausura 2007,39
694,Toluca,6.0,1.0,2.0,4.0,2.0,2.0,3.0,4.0,10.0,17.0,0.17647058823529413,0.23529411764705882,0.5882352941176471,clausura 2007,39
695,Veracruz,2.0,2.0,5.0,1.0,6.0,1.0,3.0,11.0,3.0,17.0,0.17647058823529413,0.6470588235294118,0.17647058823529413,clausura 2007,39
696,America,3.0,6.0,0.0,2.0,6.0,2.0,8.0,0.0,5.0,13.0,0.6153846153846154,0.0,0.38461538461538464,apertura 2007,40
697,Atlante,1.0,8.0,2.0,6.0,1.0,5.0,13.0,3.0,7.0,23.0,0.5652173913043478,0.13043478260869565,0.30434782608695654,apertura 2007,40
698,Atlas,3.0,1.0,4.0,0.0,7.0,2.0,3.0,11.0,0.0,14.0,0.21428571428571427,0.7857142857142857,0.0,apertura 2007,40
